strategy_name,n_bids,n_wins,win_rate,total_clicks,click_rate,total_spend,total_surplus,avg_cpm,avg_cpc,avg_surplus_per_win,overpayment_ratio,roi
ipinyou_flat,328586,328586,1.0,128,0.00038954794178692944,94557926.0,-64274278.51059088,287.77223010109986,738733.796875,-195.60869455969177,7.23526062729051,0.2707335184149449
linear_06,328586,100146,0.30477865764213935,24,0.00023965011083817625,8670474.580850894,6147565.34061362,86.57834143002111,361269.77420212055,61.38602980262437,2.6834272027129904,0.5536029147240684
optimal_km,328586,89644,0.27281746635583987,16,0.00017848378028646647,5212504.680680681,6762724.641641003,58.14672126054929,325781.54254254256,75.43979119228284,2.0177308815535357,0.6139083216290032
dual_regime,328586,108908,0.33144443159477277,20,0.00018364123847651229,6804171.991562547,7309265.4969255775,62.47632856688716,340208.5995781274,67.11412841045265,1.5296037059423315,0.587874616479443
