shading_strategy,pacing_strategy,daily_budget,total_wins,total_clicks,total_surplus,total_spend,budget_utilization,avg_cpc,roi
optimal_km,pid_uniform,50000.0,504,0,48329.46183695845,49897.00834167501,0.9979401668335003,inf,0.0
optimal_km,wr_weighted_pid,50000.0,510,0,48634.84602855313,49953.08011540184,0.9990616023080369,inf,0.0
optimal_km,pid_uniform,100000.0,1020,0,99974.2535881296,99973.04633800469,0.9997304633800469,inf,0.0
optimal_km,wr_weighted_pid,100000.0,1025,0,101245.05694557104,99962.45460779517,0.9996245460779517,inf,0.0
optimal_km,pid_uniform,200000.0,2131,0,186594.43429319002,199929.48590256926,0.9996474295128462,inf,0.0
optimal_km,wr_weighted_pid,200000.0,2144,0,188738.5983954973,199987.09804313513,0.9999354902156756,inf,0.0
optimal_km,pid_uniform,500000.0,5706,2,424347.7092352214,499914.2245161829,0.9998284490323658,249957.11225809145,0.8001372643219345
optimal_km,wr_weighted_pid,500000.0,5701,2,431832.96830567205,499969.0220462878,0.9999380440925756,249984.5110231439,0.8000495677969574
optimal_km,pid_uniform,1000000.0,11782,2,838931.8818792088,999990.1310477145,0.9999901310477145,499995.06552385725,0.40000394761987307
optimal_km,wr_weighted_pid,1000000.0,11774,2,852846.4225391733,999985.2048304231,0.9999852048304231,499992.60241521156,0.4000059181553909
optimal_km,none,inf,1402972,1480,118988379.09831151,88079542.06406407,1.0,59513.20409734059,3.360598761795405
