strategy_name,n_bids,n_wins,win_rate,total_clicks,click_rate,total_spend,total_surplus,avg_cpm,avg_cpc,avg_surplus_per_win,overpayment_ratio,roi
ipinyou_flat,1913054,1913054,1.0,1176,0.0006147238917458681,555091700.0,-387543154.33594716,290.1599745746853,472016.7517006803,-202.57826194971346,9.57854287118273,0.42371377557978257
linear_06,1913054,573454,0.29975839678336313,246,0.0004289794822252526,52724869.42308333,38815501.53695625,91.94263083539975,214328.73749220866,67.68721037250809,4.114626597905307,0.9331459809829303
optimal_km,1913054,491710,0.2570288136142524,204,0.0004148786886579488,30874610.862862863,43446242.62873028,62.79028464514218,151346.13168070032,88.35745180844458,3.3389487535565907,1.3214741452523298
dual_regime,1913054,606864,0.31722261891195963,262,0.00043172770175854886,37025315.19808909,47825825.99993475,61.010894035713264,141317.99693927134,78.80814482311482,2.5011535377108234,1.415247911318373
