strategy_name,n_bids,n_wins,win_rate,total_clicks,click_rate,total_spend,total_surplus,avg_cpm,avg_cpc,avg_surplus_per_win,overpayment_ratio,roi
ipinyou_flat,622746,622746,1.0,2764,0.004438406669814017,172500642.0,-88798307.11856069,277.0,62409.783646888565,-142.5915334960974,12.167661216717732,3.204625754378352
linear_06,622746,375452,0.602897489506155,1308,0.0034838008586983156,40915690.33471376,27306057.95365493,108.97715376323407,31281.1088185885,72.72849246682647,7.008088503260227,6.393635249948426
optimal_km,622746,338668,0.543830068759976,1146,0.0033838449454923407,25256267.283283286,36817831.876018554,74.57529876836101,22038.627646844056,108.71364249358828,4.772202161770979,9.074975230077003
dual_regime,622746,346306,0.5560951013735937,1186,0.003424716868896294,23775718.060144722,37443290.38540585,68.65522994156821,20046.979814624556,108.12197994087845,4.38495007884016,9.976565140954408
