strategy_name,n_bids,n_wins,win_rate,total_clicks,click_rate,total_spend,total_surplus,avg_cpm,avg_cpc,avg_surplus_per_win,overpayment_ratio,roi
ipinyou_flat,4228166,4228166,1.0,4482,0.0010600340667797812,1214687914.0,-805104337.389324,287.2848213622644,271014.70638107986,-190.41455264275905,10.139186492251115,0.7379673327349826
truthful,4228166,2192090,0.5184493702470527,2266,0.0010337166813406385,289669737.3453878,17671063.07686977,132.14317721689704,127833.07032011819,8.061285383752388,5.790476205451601,1.5645403767519794
linear_08,4228166,1907380,0.4511128465627887,1980,0.001038073168429993,214693209.81079137,63666790.558313444,112.55922249934012,108430.91404585422,33.37918535284707,5.248668025518559,1.8444924287498141
linear_06,4228166,1570028,0.37132600754085815,1702,0.0010840570996186055,142854481.6858868,100146438.2677865,90.98849299877888,83933.30298818261,63.78640270605779,4.577105071292755,2.382844388098953
optimal_km,4228166,1402972,0.33181573287330723,1480,0.0010549034478236202,88079542.06406407,118988379.09831151,62.78068419331538,59513.20409734059,84.81165632550865,3.4416276227526774,3.360598761795405
optimal_exchange,4228166,1425696,0.337190167084263,1486,0.0010422979372881737,91713933.45545545,120831984.55481872,64.32923530363797,61718.663159795055,84.7529799864899,3.38250642846473,3.240510888613747
dual_regime,4228166,1603144,0.37915824496956835,1608,0.0010030290479208356,98620265.372614,127705655.51076078,61.516785374622614,61331.010803864425,79.65950376931877,2.7695937413688765,3.260993050311803
